Year,Marketvalue
1969,0.193
1970,0.470
1971,0.895
1972,1.468
1973,2.273
1974,3.600
1975,6.056
1976,9.566
1977,13.732
1978,17.965
1979,22.774
1980,29.509
1981,38.790
1982,48.351
1983,57.933
1984,68.959
1985,81.361
1986,90.089
1987,95.686
1988,100.123
1989,104.732
1990,110.035
1991,116.764
1992,122.757
1993,128.562
1994,133.921
1995,139.894
1996,146.562
1997,153.286
1998,159.243
1999,164.443
2000,171.636
2001,180.834
2002,189.094
2003,198.195
2004,208.154
2005,219.185
2006,233.471
2007,247.125
2008,266.391
2009,281.218
2010,296.558
2011,313.435
2012,333.269
2013,354.220
2014,370.440
2015,381.713
2016,390.222