Jaar,Total capital inflows,Return
1969,0,0
1970,0,0
1971,0,0
1972,0,0
1973,0,0
1974,0,0
1975,0,0
1976,0,0
1977,0,0
1978,0,0
1979,0,0
1980,0,0
1981,0,0
1982,0,0
1983,0,0
1984,0,0
1985,0,0
1986,0,0
1987,0,0
1988,0,0
1989,0,0
1990,0,0
1991,0,0
1992,0,0
1993,0,0
1994,0,0
1995,0.238384616310273,0
1996,5.99042129456926,0
1997,13.3188529620582,0.589643927269227
1998,17.2703096232296,3.65111635239046
1999,20.2092634264329,6.77879953309828
2000,39.1792526106844,8.6526696174284
2001,70.7249167619142,5.69659034438205
2002,92.5276730648835,-11.2846212353309
2003,99.7693624358126,0.797481602718673
2004,111.892253479066,22.5028923132055
2005,144.492150912293,43.7579412536061
2006,179.516830207428,47.110043845485
2007,219.447681309496,110.199613613963
2008,260.64177433876,30.4502716743315
2009,264.726814458384,98.9039311450994
2010,311.352725183594,200.989529275116
2011,355.092523676308,291.209989348869
2012,411.149256127582,318.4179282618
2013,435.833621473485,327.82447308771
2014,448.738717169057,334.496488016855
2015,457.767675639451,341.984023567519
2016,477.733237171552,363.199061669125